project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 16-011,/records-research/project-search/og-16-011-0,HPA 16-019,"3324 Dent Place, NW
United States",Residence,New construction,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,Returned without Action.  Concept application for new construction has been inactive for an extended period of time.,"('/records-research/project-search/og-16-011', 'OG 16-011')",,,,,,
OG 16-034,/records-research/project-search/og-16-034,HPA 16-059,"1415 33rd Street, NW
United States",Residence,Replacement windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,"Returned without Action.  Permit application for replacement windows has been inactive for an extended period of time.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-037,/records-research/project-search/og-16-037,HPA 16-064,"1038 31st Street, NW
United States",Commercial,Sign - M Institute for the Arts - Existing alterations without review ,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,"Returned without Action.  Permit application for decal signs has been inactive for an extended period of time.  The Commission regrets that the decal signs were installed prior to review or permit.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-048,/records-research/project-search/og-16-048-1,HPA 16-080,"1055 Wisconsin Avenue, NW
United States",Mixed-use,Mesh frame,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,Returned without Action.  Permit application was withdrawn at the written request by the applicant.,"('/records-research/project-search/og-16-048-0', 'OG 16-048')",,,,,,
OG 16-065,/records-research/project-search/og-16-065-0,HPA 16-111,"3281 M Street, NW
United States",Commercial,"ATM, awning, signs - Bank of America",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,"Returned without Action.  Permit application for new ATM, awning, signs and light fixtures was deleted at the written request by the applicant.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.","('/records-research/project-search/og-16-065', 'OG 16-065')",,,,,,
OG 16-091,/records-research/project-search/og-16-091,HPA 16-146,"3212 Volta Place
United States",Residence,Fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,"Returned without Action.  Submitted materials and a site visit of 20 January 2016 indicate that proposed 6-feet-tall fence would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-094,/records-research/project-search/og-16-094,HPA 16-162,"1561 33rd Street, NW
United States",Residence,Fence replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,"Returned without Action.  Submitted materials and a site visit of 20 January 2016 indicate that proposed replacement fence would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-096,/records-research/project-search/og-16-096,HPA 16-096,"1239 33rd Street, NW
United States",Residence,Alterations to rear window,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/24913,"Returned without Action.  Submitted materials and a site visit of 20 January 2016 indicate that proposed alterations to basement window at rear elevation would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 16-024,/records-research/project-search/og-16-024-0,HPA 16-032,"3029 Q Street, NW
United States",Residence,Garage demolition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23288,"Returned without Action. Concept application was superseded by concept application OG 16-079.
","('/records-research/project-search/og-16-024', 'OG 16-024')",,,"('/records-research/project-search/og-16-079', 'OG 16-079')",,,
OG 16-043,/records-research/project-search/og-16-043-0,HPA 16-075,"1079 1/2 Wisconsin Avenue, NW
United States",Commercial,"Storefront alterations, signs - Lilly Pulitzer",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23288,"Returned without Action. Concept application was superseded by permit application OG 16-075.
","('/records-research/project-search/og-16-043', 'OG 16-043')",,,"('/records-research/project-search/og-16-075', 'OG 16-075')",,,
OG 16-073,/records-research/project-search/og-16-073,HPA 16-121,"3234 N Street, NW
United States",Residence,Rear and rooftop additions - Demolition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23288,"Returned without Action. Concept drawings received 15 December 2015 and a site visit on the same day indicate that the proposed roof and rear additions would not be visible from a public thoroughfare. The Commission regrets the extent of interior and exterior demolition of these mid-19th-century frame duplex and that the non-compatible front steps and paved front yard are proposed to be maintained. Refer to Historic Preservation Review Board. File new permit submission, including complete working and structural drawings with details and dimensions at DCRA for review by the Commission for confirmation of visibility.
",,,,,,,
OG 15-247,/records-research/project-search/og-15-247,HPA 15-457,"3010 Q Street, NW
United States",Residence,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Permit application for stair and fenestration alterations has been inactive for an extended period of time.
","('/records-research/project-search/og-15-247-1', 'OG 15-247')",,,,,,
OG 15-250,/records-research/project-search/og-15-250,HPA 15-460,"1510 31st Street, NW
United States",Residence,Rooftop addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Concept application for rooftop addition has been inactive for an extended period of time.
","('/records-research/project-search/og-15-250-1', 'OG 15-250')",,,,,,
OG 15-270,/records-research/project-search/og-15-270,HPA 15-505,"2908 R Street, NW
United States",Residence,New door surround and window trim,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Application for door and window trim has been inactive for an extended period of time.
",,,,,,,
OG 15-276,/records-research/project-search/og-15-276,HPA 15-520,"1695 35th Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Permit application for replacement windows has been inactive for an extended period of time.
",,,,,,,
OG 15-296,/records-research/project-search/og-15-296-2,HPA 15-544,"1055 Wisconsin Avenue, NW
United States",Mixed-use,Signs,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Concept application was superseded by permit application OG 16-048.
","('/records-research/project-search/og-15-296-1', 'OG 15-296')",,,,,,
OG 16-040,/records-research/project-search/og-16-040,HPA 16-068,"1055 29th Street, NW
United States",Industrial - West Heating Plant,Site wall reinforcement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Submission materials and a site visit on 16 November 2015 indicate the reinforcements at two metal doors within the stone perimeter wall would not be visible from a public thoroughfare.
",,,,,,,
OG 16-058,/records-research/project-search/og-16-058,HPA 16-090,"1519 35th Street, NW
United States",Residence,Alterations at carriage house,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23287,"Returned without Action.  Submission materials and a site visit on 17 November 2015 indicate that fenestration alterations at carriage house would not be visible from a public thoroughfare.
","('/records-research/project-search/og-15-056', 'OG 15-056')",,,,,,
OG 15-260,/records-research/project-search/og-15-260-1,HPA 15-471,"2905 N Street, NW
United States",Residence,"New parking pad, alterations, site work",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23286,"('https://www.cfa.gov/records-research/project-search/og-16-018-0', 'Returned without Action.\xa0 Concept application was superseded by permit application OG 16-018.\n')","('/records-research/project-search/og-15-260-0', 'OG 15-260')",,,,,,
OG 16-009,/records-research/project-search/og-16-009,HPA 16-015,"1703 32nd Street, NW
United States",Dumbarton Oaks,Alterations - pool and pool house,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23286,"Returned without Action.  Submitted materials and a site visit on 20 October 2015 indicate that proposed alterations to pool and pool house would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.
",,,,,,,
OG 16-020,/records-research/project-search/og-16-020,HPA 16-028,"3107 Dumbarton Street, NW
United States",Residence,"Raise roof, rear addition, replacement windows - Existing alterations without review",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23286,"Returned without action.  Concept application was withdrawn by written request by the applicant.
","('/records-research/project-search/og-15-340-0', 'OG 15-340')",,,,,,
OG 16-026,/records-research/project-search/og-16-026,HPA 16-034,"1312 31st Street, NW
United States",Residence,Brick garden wall,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23286,"Returned without action. Submitted materials and a site visit on 20 October 2015 indicate that proposed brick wall would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 16-031,/records-research/project-search/og-16-031,HPA 16-039,"3043 P Street, NW
United States",Residence,Parking pad,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23286,"Returned without action. Submitted materials and a site visit on 20 October 2015 indicated that proposed resurfacing of the asphalt parking pad would not be visible from a public thoroughfare. Existing concrete apron with exposed aggregate between the property line and public sidewalk is to remain as existing.
",,,,,,,
OG 15-071,/records-research/project-search/og-15-071,HPA 15-115,"2707 N Street, NW
United States",Residence,Rear additions,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Concept application has been inactive for an extended period of time.
","('/records-research/project-search/og-15-071-2', 'OG 15-071')",,,,,,
OG 15-120,/records-research/project-search/og-15-120,HPA 15-223,"3255-3259 Prospect Street, NW
United States",Mixed-use,New construction,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Concept application has been inactive for an extended period of time.
","('/records-research/project-search/og-15-120-3', 'OG 15-120')",,,,,,
OG 15-224,/records-research/project-search/og-15-224,HPA 15-431,"1316 34th Street, NW
United States",Residence,New garage with roof deck,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Permit application has been inactive for an extended period of time.
",,,,,,,
OG 15-256,/records-research/project-search/og-15-256,HPA 15-467,"1611 29th Street, NW
United States",Residence,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Permit application was withdrawn by written request by the applicant.
",,,,,,,
OG 15-324,/records-research/project-search/og-15-324,HPA 15-600,"3021 N Street, NW
United States",Residence,Solar panels,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Submitted materials and a site visit of 15 September 2015 indicate that proposed installation of solar panels on roof would not be visible from a public thoroughfare. All equipment to be located within the premises except for the conduit at the rear wall. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 15-326,/records-research/project-search/og-15-326,HPA 15-602,"3011 Cambridge Place, NW
United States",Residence,Door and window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Submitted materials, including information received 23 September 2015, and a site visit on 15 September 2015 indicate that proposed replacement of windows and door at the first floor of rear ell would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 15-329,/records-research/project-search/og-15-329,HPA 15-605,"1614 Wisconsin Avenue, NW
United States",Restaurant,Mechanical equipment,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Submitted materials and a site visit on 15 September 2015 indicate that proposed installation of mechanical equipment on roof of one-story rear wing would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 15-335,/records-research/project-search/og-15-335,HPA 15-612,"1316 33rd Street, NW
United States",Residence,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23285,"Returned without action. Submitted materials and a site visit on 15 September 2015 indicate that proposed alterations to masonry opening on west wall of carriage house would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 15-063,/records-research/project-search/og-15-063,HPA 15-103,"1502 27th Street, NW
United States",Residence,"Front porch, site alterations",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Permit submission has been inactive for an extended period of time.
","('/records-research/project-search/og-15-063-1', 'OG 15-063')",,,,,,
OG 15-181,/records-research/project-search/og-15-181,HPA 15-340,"1411 33rd Street, NW
United States",Residence,Replacement Windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Permit submission has been inactive for an extended period of time.
","('/records-research/project-search/og-14-370-0', 'OG 14-370')",,,,,,
OG 15-251,/records-research/project-search/og-15-251,HPA 15-461,"3264 S Street, NW
United States",Residence,"Porch enclosure, site alterations",Revised permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Revised permit submission was withdrawn at the written request of the applicant.
","('/records-research/project-search/og-15-251-1', 'OG 15-251')",,,,,,
OG 15-268,/records-research/project-search/og-15-268,HPA 15-485,"1612 34th Street, NW
United States",Residence,Thru-wall AC unit at side elevation,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Concept submission was withdrawn at the written request of the applicant.
",,,,,,,
OG 15-271,/records-research/project-search/og-15-271,HPA 15-510,"1614 Wisconsin Avenue, NW
United States",Restaurant,"Alterations, deck",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Permit submission was withdrawn at the written request of the applicant.
",,,,,,,
OG 15-272,/records-research/project-search/og-15-272,HPA 15-512,"3011 Cambridge Place, NW
United States",Residence,Replacement fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Submitted materials and a site visit on 18 August 2015 indicate that proposed replacement fence would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 15-273,/records-research/project-search/og-15-273,HPA 15-517,"3009 Dumbarton Street, NW
United States",Residence,Raze auxiliary structure,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Submitted materials and site visit on 18 August 2015 indicate auxiliary structure is not visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 15-277,/records-research/project-search/og-15-277,HPA 15-521,"1341 28th Street, NW
United States",Residence,Replace door and transom,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Permit submission was withdrawn at the written request of the applicant.
",,,,,,,
OG 15-301,/records-research/project-search/og-15-301,HPA 15-549,"3405 Prospect Street, NW
United States",Residence,Solar panels,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Submitted materials and a site visit on 18 August 2015 indicate that proposed solar panels on roof would not be visible from a public thoroughfare. Refer to the Historic Preservation Review Board.
",,,,,,,
OG 15-302,/records-research/project-search/og-15-302,HPA 15-550,"3226 N Street, NW
United States",Residence,Solar panels,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Supplemental information received 24 August 2015 and a site visit on 18 August 2015 indicate that proposed solar panels on roof would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 15-306,/records-research/project-search/og-15-306,HPA 15-555,"3107 N Street, NW
United States",Residence,New fence at rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Submitted materials, indicating 6-foot tall fence relocated southward and a site visit on 18 August 2015 indicate that proposed raised terrace and wood fence would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
","('/records-research/project-search/og-14-304', 'OG 14-304')",,,,,,
OG 15-312,/records-research/project-search/og-15-312,HPA 15-561,"1312 31st Street, NW
United States",Residence,Site work,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23284,"Returned without action. Submitted materials and site visit on 18 August 2015 indicate that proposed site work and outdoor gas fireplace would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 15-032,/records-research/project-search/og-15-032-2,HPA 15-045,"3324 Dent Place, NW
United States",Residence,New construction,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23283,Returned without Action.  Concept application for new construction has been inactive for an extended period of time.,"('/records-research/project-search/og-15-032-1', 'OG 15-032')",,,,,,
OG 15-185,/records-research/project-search/og-15-185-2,HPA 15-344,"2807 Q Street, NW
United States",Residence,"Front porch repair, replacement windows",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23283,Returned without Action.  Permit application for porch repair was superseded by permit application OG 15-241.,"('/records-research/project-search/og-15-185-1', 'OG 15-185')",,,,,,
OG 15-186,/records-research/project-search/og-15-186-1,HPA 15-345,"3222 M Street, NW
United States",Mixed-use,Exterior duct and roof vent,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23283,Returned without Action.  Concept application for exterior duct and roof exhaust was withdrawn at the written request by the applicant.,"('/records-research/project-search/og-15-186-0', 'OG 15-186')",,,,,,
OG 15-236,/records-research/project-search/og-15-236-0,HPA 15-446,"3800 Reservoir Road, NW
United States",MedStar Georgetown University Hospital,Rooftop HVAC at Bles Building,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23283,Returned without Action.  Submitted materials and a site visit of 16 June 2015 indicate that proposed rooftop mechanical unit on lower roof of the Bles Building would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.  File permit drawings and application at DCRA for review by the Commission to confirm work would not be visible from public thoroughfare.,,,,,,,
OG 15-265,/records-research/project-search/og-15-265-0,HPA 15-477,"3121 O Street, NW
United States",Residence,Replacement and alterations to rear yard for permeable terraces,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23283,Returned without Action.  Submitted materials and a site visit of 16 June 2015 indicate that proposed site work to replace terraces with permeable terraces and new landscaping would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-162,/records-research/project-search/og-15-162-0,HPA 15-312,"2708 P Street, NW
United States",Residence,Replacement French doors at rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23282,Returned without action.  Permit application for replacement of French doors and windows at rear was withdrawn at the written request by the applicant.,,,,,,,
OG 15-169,/records-research/project-search/og-15-169-0,HPA 15-326,"1058 Thomas Jefferson Street, NW
United States",Commercial,"Replacement standing seam metal roof, skylights",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23282,Returned without action.  Duplicate permit application was withdrawn at the written request of applicant.  (Previous:  OG 14-295),"('/records-research/project-search/og-14-295', 'OG 14-295')",,,,,,
OG 15-210,/records-research/project-search/og-15-210-0,HPA 15-401,"1318 34th Street, NW
United States",Residence,Garden wall,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23282,Returned without Action.  Submitted materials and a site visit on 31 March 2015 indicate that reconstruction of garden wall that collapsed would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-219,/records-research/project-search/og-15-219-0,HPA 15-410,"3317 P Street, NW
United States",Residence,Basement addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23282,Returned without Action.  Submitted materials and a site visit of 19 May 2015 indicate that basement addition would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-074,/records-research/project-search/og-15-074-1,HPA 15-118,"1215 31st Street, NW
United States",Georgetown Post Office,"Sign - EastBanc Technologies, alterations",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,"Returned without Action.  Permit application has been inactive for an extended period of time.  The Commission regrets that the entrance ramp to the basement addition, as completed, does not conform to the approved design.  File new submission at DCRA with design proposals to address the exposed concrete foundation walls and the new sign for review by the Commission.","('/records-research/project-search/og-15-074-0', 'OG 15-074')",,,,,,
OG 15-077,/records-research/project-search/og-15-077-1,HPA 15-121,"3103 P Street, NW
United States",Residence,"Replacement windows, new window openings",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  The permit application for new window openings was withdrawn at the written request by the applicant.,"('/records-research/project-search/og-15-077-0', 'OG 15-077')",,,,,,
OG 15-149,/records-research/project-search/og-15-149-0,HPA 15-271,"3127 Dumbarton Street, NW
United States",Residence,Roof deck and replacement stairs - Existing alterations without review,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without action.  Permit application for roof deck and replacement stair was withdrawn at the written request of the applicant.,,,,,,,
OG 15-163,/records-research/project-search/og-15-163-0,HPA 15-313,"1660 34th Street, NW
United States",Residence,Alterations to rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  Submission materials and site visits performed in coordination with previous application OG 14-319 indicate that alterations to rear for new window wells would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-167,/records-research/project-search/og-15-167-0,HPA 15-324,"1529 Wisconsin Avenue, NW
United States",Commercial,Outdoor seating terrace,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  Submission materials and a site visit on 21 April 2015 indicate that no new paved area would be created and new outdoor seating would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-170,/records-research/project-search/og-15-170-0,HPA 15-329,"2722 Q Street, NW
United States",Residence,Alterations to rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  Submission materials and a site visit on 21 April 2015 indicate that proposed alterations to rear would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-176,/records-research/project-search/og-15-176-0,HPA 15-335,"2900 M Street, NW
United States",Commercial,Flag pole - Ike Behar,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without action.  Permit application was withdrawn at the written request of the applicant.,,,,,,,
OG 15-182,/records-research/project-search/og-15-182-0,HPA 15-341,"1405 34th Street, NW
United States",Residence,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  Submission materials and a site visit on 21 April 2015 indicate that alterations to the swimming pool would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-187,/records-research/project-search/og-15-187-0,HPA 15-346,"3106 Q Street, NW
United States",Residence,Alterations to rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  Submission materials and a site visit on 21 April 2015 indicate that proposed rear alterations would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 15-193,/records-research/project-search/og-15-193-0,HPA 15-352,"1061 31st Street, NW
United States",Commercial,Awning and signs - Canal Inn - existing,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23281,Returned without Action.  Permit application is a duplicate of permit application OG 15-110.,"('/records-research/project-search/og-15-110', 'OG 15-110')",,,,,,
OG 15-008,/records-research/project-search/og-15-008-1,HPA 15-018,"1901 Wisconsin Avenue, NW
United States",Commercial,"Alterations, awning, sign - Citibank",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action. Concept application for alterations, awning and sign was withdrawn at the written request by the applicant.
","('/records-research/project-search/og-15-008-0', 'OG 15-008')",,,,,,
OG 15-112,/records-research/project-search/og-15-112-0,HPA 15-215,"1225 Wisconsin Avenue, NW
United States",Commercial,"Replacement front windows, repointing",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action.  The replacement of windows was deleted from the scope of work on this permit application at the written request by the applicant.  Existing windows will be repaired.  Refer the proposed repointing of rear and party walls to the Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-138,/records-research/project-search/og-15-138-0,HPA 15-245,"2725 Poplar Street, NW
United States",Residence,Replacement fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action.  Submission materials and a site visit on 16 March 2015 indicate that wood fence in rear yard would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-143,/records-research/project-search/og-15-143-0,HPA 15-265,"3129 Dumbarton Street, NW
United States",Residence,Replacement windows and doors at rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action.  Submission materials and a site visit on 17 March 2015 indicate that proposed replacement windows and doors at rear would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-146,/records-research/project-search/og-15-146-0,HPA 15-268,"1526 32nd Street, NW
United States",Residence,Replacement fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action.  Submission materials and a site visit on 17 March 2015 indicate that proposed replacement wood fence at rear yard would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-155,/records-research/project-search/og-15-155-0,HPA 15-277,"3301 N Street, NW
United States",Residence,"Rear addition, alterations",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,Returned without action.  Concept application was withdrawn at the written request of the applicant.,"('/records-research/project-search/og-15-121', 'OG 15-121')",,,,,,
OG 15-157,/records-research/project-search/og-15-157-0,HPA 15-279,"3247 P Street, NW
United States",Residence,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action.  Concept application for alterations, deck and trellis was withdrawn at the written request by the applicant.",,,,,,,
OG 15-160,/records-research/project-search/og-15-160-0,HPA 15-288,"1528 32nd Street, NW
United States",Residence,Replacement fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23280,"Returned without Action.  Submission materials and a site visit on 17 March 2015 indicate that proposed replacement wood fence at rear yard would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 14-246,/records-research/project-search/og-14-246-2,HPA 14-487,"2920 R Street, NW
United States",Residence,"Partial demolition, additions, alterations, underground garage",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Concept application has been inactive for an extended period of time.
","('/records-research/project-search/og-14-246-1', 'OG 14-246')",,,,,,
OG 14-327,/records-research/project-search/og-14-327-1,HPA 15-608,"3100 South Street, NW
United States",Mixed-use,Rooftop antennas and alterations to penthouse - AT&T,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Concept application has been inactive for an extended period of time.
","('/records-research/project-search/og-14-327-0', 'OG 14-327')",,,,,,
OG 14-328,/records-research/project-search/og-14-328-1,HPA 14-609,"2800 Pennsylvania Avenue, NW
United States",Commercial,Rooftop antennas - AT&T,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Concept application has been inactive for an extended period of time. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
","('/records-research/project-search/og-14-328-0', 'OG 14-328')",,,,,,
OG 14-370,/records-research/project-search/og-14-370,HPA 14-710,"1411 33rd Street, NW
United States",Residence,Replacement Windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action.  Permit application has been inactive for an extended period of time.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-002,/records-research/project-search/og-15-002-0,HPA 15-008,"3500 Water Street, NW
United States",Key Bridge Boat House,Sign - Key Bridge Boathouse,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,Returned without Action.  Permit application has been inactive for an extended period of time.,,,,,,,
